date,team,total_wins,localwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-02-13T07:52:14Z,T1,65,0.677,11.667,1.552,7.026,0.2,LCK,3,0,1,0.375,1986.382,1820.991,1346,1158,1,224.672
2020-02-13T08:43:01Z,KT Rolster,43,0.467,1,1.488,6.361,0.2,LCK,-3,1,0,0.112,2439.764,1293.552,-3723,-4486,0,224.637
2020-02-13T08:43:01Z,T1,65,0.677,7.333,1.748,7.707,0.2,LCK,3,0,1,0.335,2152.151,1763.36,3723,4486,1,224.637
2020-02-13T09:38:31Z,DRX,68,0.642,10.333,1.688,7.948,0.2,LCK,3,0,0,0.453,1984.983,1771.256,8836,4358,1,224.598
2020-02-13T09:38:31Z,Hanwha Life Esports,25,0.287,0.909,1.318,6.268,0.2,LCK,-3,1,0,0.124,2613.727,922.69,-8836,-4358,0,224.598
2020-02-13T11:32:43Z,DRX,68,0.642,8.1,1.464,6.616,0.2,LCK,4,0,1,0.765,2725.757,2439.068,2393,1689,1,224.519
2020-02-13T11:32:43Z,Hanwha Life Esports,25,0.287,1.348,1.324,5.91,0.2,LCK,-4,1,0,0.333,3123.195,1811.215,-2393,-1689,0,224.519
2020-02-14T05:50:06Z,DAMWON Gaming,63,0.677,0,1.595,6.752,0.2,LCK,1,1,0,0,1492.084,1447.762,-446,-912,0,223.757
2020-02-14T05:50:06Z,Gen.G,67,0.698,79,1.62,7.103,0.2,LCK,-1,0,1,0.216,2198.193,1112.556,446,912,1,223.757
2020-02-14T08:45:52Z,DAMWON Gaming,63,0.677,0.632,1.478,6.515,0.2,LCK,-2,0,0,0.172,2672.062,1715.43,-4610,-4122,0,223.635
2020-02-14T08:45:52Z,Gen.G,67,0.698,11.8,1.601,6.509,0.2,LCK,2,1,1,0.653,2696.048,1967.423,4610,4122,1,223.635
2020-02-14T09:36:52Z,Griffin,17,0.34,9,1.784,6.148,0.2,LCK,1,0,0,0.381,2588.922,2552.76,656,1367,0,223.599
2020-02-14T09:36:52Z,SeolHaeOne Prince,23,0.274,1.188,1.727,6.1,0.2,LCK,-1,1,0,0.143,3250.206,1784.298,-656,-1367,1,223.599
2020-02-14T11:59:07Z,Griffin,17,0.34,2.154,1.6,5.925,0.2,LCK,-2,0,2,0.544,3659.586,2309.417,541,1353,0,223.501
2020-02-14T11:59:07Z,SeolHaeOne Prince,23,0.274,3.905,2.015,6.044,0.2,LCK,2,1,0,0.673,3049.357,2898.101,-541,-1353,1,223.501
2020-02-14T12:53:42Z,Griffin,17,0.34,4.667,1.9,6.835,0.2,LCK,2,1,0,0.282,2449.808,1971.76,429,-172,0,223.463
2020-02-14T12:53:42Z,SeolHaeOne Prince,23,0.274,2.231,2.017,6.579,0.2,LCK,-2,0,2,0.195,2672.96,1468.081,-429,172,1,223.463
2020-02-15T07:46:15Z,Afreeca Freecs,42,0.452,11.75,1.681,6.554,0.2,LCK,-1,1,2,0.386,3000.496,2152.007,681,971,0,222.676
2020-02-15T07:46:15Z,DRX,68,0.642,1.143,1.543,6.995,0.2,LCK,1,0,0,0.11,2753.468,2078.861,-681,-971,1,222.676
2020-02-15T08:50:59Z,Afreeca Freecs,42,0.452,3.545,1.792,6.105,0.2,LCK,2,0,0,0.358,3164.619,1312.653,-1039,-1281,1,222.631
2020-02-15T08:50:59Z,DRX,68,0.642,2.917,1.523,6.917,0.2,LCK,-2,1,1,0.328,2064.34,2376.197,1039,1281,0,222.631
2020-02-15T09:51:15Z,Afreeca Freecs,42,0.452,0.75,1.458,7.1,0.2,LCK,-1,1,0,0.12,2164.821,1467.888,-1378,-1082,0,222.589
2020-02-15T09:51:15Z,DRX,68,0.642,10.667,1.402,7.211,0.2,LCK,1,0,1,0.319,2436.335,1239.92,1378,1082,1,222.589
2020-02-15T10:37:07Z,Hanwha Life Esports,25,0.287,8.25,1.726,6.416,0.2,LCK,2,1,1,0.574,3063.06,2328.884,-1610,-1515,1,222.558
2020-02-15T10:37:07Z,SANDBOX Gaming,38,0.409,1.667,1.941,6.674,0.2,LCK,-2,0,1,0.287,2992.972,2211.777,1610,1515,0,222.558
2020-02-15T12:20:37Z,Hanwha Life Esports,25,0.287,3.375,1.872,6.687,0.2,LCK,1,0,2,0.317,2430.306,1805.236,-3118,-2283,0,222.486
2020-02-15T12:20:37Z,SANDBOX Gaming,38,0.409,4.071,1.968,7.013,0.2,LCK,-1,1,1,0.363,2610.17,1740.612,3118,2283,1,222.486
2020-02-16T06:06:01Z,DAMWON Gaming,63,0.677,32,1.845,7.702,0.2,LCK,4,1,1,0.594,2525.836,1964.834,2781,1521,1,221.746
2020-02-16T06:06:01Z,KT Rolster,43,0.467,0.412,1.482,6.681,0.2,LCK,-4,0,0,0.07,2738.439,1048.095,-2781,-1521,0,221.746
2020-02-16T08:40:41Z,DAMWON Gaming,63,0.677,6.286,1.665,6.842,0.2,LCK,3,1,2,0.394,1976.549,2095.338,1253,-220,1,221.638
2020-02-16T08:40:41Z,KT Rolster,43,0.467,1.615,1.617,6.012,0.2,LCK,-3,0,0,0.212,2628.194,1095.076,-1253,220,0,221.638
2020-02-16T10:35:30Z,Gen.G,67,0.698,0.833,1.676,6.426,0.2,LCK,-4,0,1,0.092,2274.756,1239.435,-168,-1111,0,221.559
2020-02-16T10:35:30Z,T1,65,0.677,8,2.056,6.371,0.2,LCK,4,1,1,0.275,2193.687,1536.435,168,1111,1,221.559
2020-02-16T12:02:51Z,Gen.G,67,0.698,32,1.754,7.551,0.2,LCK,2,1,0,0.258,1529.565,1362.074,3562,1677,1,221.498
2020-02-16T12:02:51Z,T1,65,0.677,0.625,1.496,6.848,0.2,LCK,-2,0,0,0.032,2006.824,801.537,-3562,-1677,0,221.498
2020-02-16T12:54:27Z,Gen.G,67,0.698,1.333,1.804,7.034,0.2,LCK,-2,0,0,0.103,2178.295,1469.974,-909,273,0,221.462
2020-02-16T12:54:27Z,T1,65,0.677,8.75,2.026,6.853,0.2,LCK,2,1,0,0.233,2521.602,1559.354,909,-273,1,221.462
2020-02-19T06:49:52Z,Gen.G,67,0.698,14.5,1.845,7.329,0.2,LCK,4,1,1,0.5,2119.76,1895.487,3577,-98,1,218.715
2020-02-19T06:49:52Z,Hanwha Life Esports,25,0.287,0.688,1.42,6.754,0.2,LCK,-4,0,0,0.125,2610.047,1175.769,-3577,98,0,218.715
2020-02-19T08:44:35Z,Gen.G,67,0.698,14,1.867,6.88,0.2,LCK,3,0,1,0.715,2138.76,2104.219,1464,2216,0,218.636
2020-02-19T08:44:35Z,Hanwha Life Esports,25,0.287,0.6,1.273,6.307,0.2,LCK,-3,1,0,0.143,2841.347,1421.907,-1464,-2216,1,218.636
2020-02-19T10:40:25Z,DRX,68,0.642,1.316,1.66,6.168,0.2,LCK,-3,1,0,0.174,3181.654,2259.807,-42,-1360,1,218.555
2020-02-19T10:40:25Z,T1,65,0.677,12.167,1.88,6.464,0.2,LCK,3,0,1,0.551,3225.493,2560.3,42,1360,0,218.555
2020-02-19T11:44:56Z,DRX,68,0.642,9.4,1.652,7.767,0.2,LCK,3,0,1,0.441,2865.537,2117.256,2680,3701,1,218.51
2020-02-19T11:44:56Z,T1,65,0.677,1.067,1.476,6.82,0.2,LCK,-3,1,0,0.147,2902.577,1882.812,-2680,-3701,0,218.51
2020-02-19T12:42:05Z,DRX,68,0.642,0.5,1.645,7.381,0.2,LCK,-1,1,1,0.086,2441.117,1806.132,1187,150,1,218.471
2020-02-19T12:42:05Z,T1,65,0.677,18.667,2.011,7.519,0.2,LCK,1,0,0,0.401,2835.387,1739.742,-1187,-150,0,218.471
2020-02-20T07:40:03Z,DAMWON Gaming,63,0.677,0.308,1.413,7.09,0.2,LCK,-5,0,0,0.029,2453.365,1911.058,-584,1459,0,217.681
2020-02-20T07:40:03Z,Griffin,17,0.34,46,1.737,6.963,0.2,LCK,5,1,2,0.375,2820.346,1570.385,584,-1459,1,217.681
2020-02-20T08:45:26Z,DAMWON Gaming,63,0.677,11.5,1.72,7.664,0.2,LCK,2,1,1,0.21,1417.552,1063.217,2598,1269,1,217.635
2020-02-20T08:45:26Z,Griffin,17,0.34,1.333,1.364,6.846,0.2,LCK,-2,0,0,0.07,1700.839,618.077,-2598,-1269,0,217.635
2020-02-20T09:38:46Z,DAMWON Gaming,63,0.677,9.4,1.767,7.087,0.2,LCK,2,1,0,0.408,1565.776,1753.352,2746,-20,1,217.598
2020-02-20T09:38:46Z,Griffin,17,0.34,1.083,1.42,6.496,0.2,LCK,-2,0,0,0.17,2433.567,760.057,-2746,20,0,217.598
2020-02-20T10:39:05Z,KT Rolster,43,0.467,3,1.808,6.177,0.2,LCK,-1,1,0,0.246,3377.463,1739.261,1548,-117,1,217.556
2020-02-20T10:39:05Z,SeolHaeOne Prince,23,0.274,5.5,2.163,6.463,0.2,LCK,1,0,1,0.345,2226.897,2665.764,-1548,117,0,217.556
2020-02-20T12:10:11Z,KT Rolster,43,0.467,1.385,1.519,6.026,0.2,LCK,-1,0,0,0.173,2750.475,1567.108,-49,1074,0,217.493
2020-02-20T12:10:11Z,SeolHaeOne Prince,23,0.274,7.833,1.542,6.325,0.2,LCK,1,1,1,0.374,2272.978,2133.525,49,-1074,1,217.493
2020-02-21T07:19:01Z,Afreeca Freecs,42,0.452,5.455,2.049,6.083,0.2,LCK,2,0,1,0.381,2350.332,2151.326,-106,-254,0,216.695
2020-02-21T07:19:01Z,SANDBOX Gaming,38,0.409,2.118,1.533,5.904,0.2,LCK,-2,1,2,0.246,2694.038,1709.765,106,254,1,216.695
2020-02-21T09:00:12Z,Afreeca Freecs,42,0.452,1.923,1.547,6.447,0.2,LCK,-2,0,0,0.204,2524.146,1682.745,-2426,-807,0,216.625
2020-02-21T09:00:12Z,SANDBOX Gaming,38,0.409,7.429,1.711,6.926,0.2,LCK,2,1,0,0.38,2533.985,1856.818,2426,807,1,216.625
2020-02-21T09:52:46Z,Afreeca Freecs,42,0.452,9.167,1.972,6.21,0.2,LCK,4,1,1,0.501,2387.668,1848.357,1100,-21,1,216.588
2020-02-21T09:52:46Z,SANDBOX Gaming,38,0.409,1.5,1.239,6.222,0.2,LCK,-4,0,0,0.188,2418.654,1657.402,-1100,21,0,216.588
2020-02-21T11:26:23Z,DRX,68,0.642,21,1.834,7.197,0.2,LCK,3,1,1,0.298,2534.844,1543.175,1566,549,1,216.523
2020-02-21T11:26:23Z,Gen.G,67,0.698,0.636,1.666,6.839,0.2,LCK,-3,0,0,0.054,2193.921,1523.799,-1566,-549,0,216.523
2020-02-21T12:27:09Z,DRX,68,0.642,0.526,1.436,6.747,0.2,LCK,-2,0,0,0.097,2290.642,1201.973,-5746,-2549,0,216.481
2020-02-21T12:27:09Z,Gen.G,67,0.698,21.333,1.76,6.812,0.2,LCK,2,1,1,0.615,1923.655,1609.747,5746,2549,1,216.481
2020-02-21T13:23:57Z,DRX,68,0.642,1.115,1.412,6.018,0.2,LCK,-4,0,0,0.243,3762.292,1654.168,-2164,-580,0,216.442
2020-02-21T13:23:57Z,Gen.G,67,0.698,12.75,1.442,5.781,0.2,LCK,4,1,1,0.791,2384.178,2604.402,2164,580,1,216.442
2020-02-22T06:09:55Z,Griffin,17,0.34,1.818,1.57,6.248,0.2,LCK,-4,1,0,0.136,2353.63,1279.764,133,-1147,1,215.743
