date,team,total_wins,worldwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-09-30T10:33:36Z,SuperMassive Esports,5,0.417,2.059,1.049,6.44,0.2,WCS,-4,0,0,0.326,3370.788,1788.593,-3108,-1544,0,-130.56
2020-09-30T10:33:36Z,Unicorns Of Love.CIS,6,0.429,6.2,1.623,6.694,0.2,WCS,4,1,2,0.554,2723.335,2511.885,3108,1544,1,-130.56
2020-10-03T07:35:28Z,FlyQuest,3,0.5,1.474,1.049,5.917,0.2,WCS,-4,0,0,0.224,2819.744,1831.887,-4869,-3040,0,-199.591
2020-10-03T07:35:28Z,Top Esports,9,0.6,8.429,1.682,6.959,0.2,WCS,4,1,1,0.608,3022.132,2163.39,4869,3040,1,-199.591
2020-10-03T08:47:36Z,DRX,4,0.444,10.833,1.757,7.233,0.2,WCS,4,0,1,0.729,3131.171,2447.204,4073,4016,0,-200.793
2020-10-03T08:47:36Z,Unicorns Of Love.CIS,6,0.429,0.5,1.154,6.404,0.2,WCS,-4,1,0,0.166,3121.061,1779.481,-4073,-4016,1,-200.793
2020-10-03T09:50:30Z,PSG Talon,6,0.545,0,1.254,6.446,0.2,WCS,-2,0,0,0,2145.087,711.777,-4646,-3253,0,-201.842
2020-10-03T09:50:30Z,Rogue,1,0.167,49,1.965,6.592,0.2,WCS,2,1,1,0.557,1573.519,1614.495,4646,3253,1,-201.842
2020-10-03T10:43:09Z,DAMWON Gaming,14,0.824,11.857,1.514,6.537,0.2,WCS,4,1,1,1.018,2700.529,2300.963,3524,939,1,-202.719
2020-10-03T10:43:09Z,JD Gaming,5,0.5,1.04,1.237,6.285,0.2,WCS,-4,0,0,0.285,2912.483,1435.197,-3524,-939,0,-202.719
2020-10-03T11:36:44Z,Gen.G,5,0.556,4.118,2.125,6.317,0.2,WCS,1,1,2,0.462,3038.006,2515.183,3019,630,1,-203.612
2020-10-03T11:36:44Z,LGD Gaming,11,0.647,2.952,1.566,5.833,0.2,WCS,-1,0,0,0.374,3407.067,2246.701,-3019,-630,0,-203.612
